FID,the_geom,UNIQUENUM,IDNUM,NAME,LONGITUDE,LATITUDE,COUNTRY,REGION,REVBIS,DESCRIPTIO,JUSTIFICAT,DATEINSCRI,SECDATE,DANGER,AREAHA,CRITERIA,CATSHORT,CATFIN,TRANSBOUND
worldheritagesites.1,POINT (64.51605556 34.39655556),234,211,Minaret and Archaeological Remains of Jam,64.51605556,34.39655556,Afghanistan,Asia and the Pacific,Rev,"<p>The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent","<p><em>Criterion (ii):</em> The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond.</p>
<p><em>Criterion (iii): </em>The Minaret of",2002,,2002,70,(ii)(iii)(iv),C,CD,0
worldheritagesites.2,POINT (67.82525 34.84694),230,208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,67.82525,34.84694,Afghanistan,Asia and the Pacific,Rev,"<p>The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhar","<p><em>Criterion (i):</em> The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region.</p>
<p><em>Criterion (ii)</em> : The artistic and architectural remain",2003,,2003,158.9265,(i)(ii)(iii)(iv)(vi),C,CD,0
worldheritagesites.3,POINT (20.13333333 40.06944444),1590,569,Historic Centres of Berat and Gjirokastra,20.13333333,40.06944444,Albania,Europe and North America,Bis,"<p>Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It f",,2005,2008,,58.9,(iii)(iv),C,C,0
worldheritagesites.4,POINT (20.02611111 39.75111111),1563,570,Butrint,20.02611111,39.75111111,Albania,Europe and North America,ter,"<p>Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late",,1992,1999,,,(iii),C,C,0
worldheritagesites.5,POINT (2.383333333 36.55),214,193,Tipasa,2.383333333,36.55,Algeria,Arab States,,"<p>On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzan",,1982,,2002-2006,52.16,(iii)(iv),C,C,0
worldheritagesites.6,POINT (4.78684 35.81844),111,102,Al Qal'a of Beni Hammad,4.78684,35.81844,Algeria,Arab States,,"<p>In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eigh",,1980,,,150,(iii),C,C,0
worldheritagesites.7,POINT (3.68333 32.48333),209,188,M'Zab Valley,3.68333,32.48333,Algeria,Arab States,,"<p>A traditional human habitat, created in the 10th century by the Ibadites around their five <em>ksour</em> (fortified cities), has been preserved intact in the M&rsquo;Zab valley. Simple, functional and perfectly adapted to the environment, the archite",,1982,,,665.03,(ii)(iii)(v),C,C,0
worldheritagesites.8,POINT (5.73667 36.32056),212,191,Dj?mila,5.73667,36.32056,Algeria,Arab States,,"<p>Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.</p>",,1982,,,30.6,(iii)(iv),C,C,0
worldheritagesites.9,POINT (6.63333 35.45),215,194,Timgad,6.63333,35.45,Algeria,Arab States,,<p>Timgad lies on the northern slopes of the Aur&egrave;s mountains and was created <em>ex nihilo</em> as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the <em>cardo</em> and <em>decumanus</em,,1982,,,90.54,(ii)(iii)(iv),C,C,0
worldheritagesites.10,POINT (3.06028 36.78333),667,565,Kasbah of Algiers,3.06028,36.78333,Algeria,Arab States,,"<p>The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the ci",,1992,,,60,(ii)(v),C,C,0
worldheritagesites.11,POINT (9 25.5),198,179,Tassili n'Ajjer,9,25.5,Algeria,Arab States,,"<p>Located in a strange lunar landscape of great geological interest, this site has one of the most important groupings of prehistoric cave art in the world. More than 15,000 drawings and engravings record the climatic changes, the animal migrations and",,1982,,,7200000,(i)(iii)(vii)(viii),C/N,C/N,0
worldheritagesites.12,POINT (1.595555556 42.49472222),1487,1160,Madriu-Perafita-Claror Valley,1.595555556,42.49472222,Andorra,Europe and North America,Bis,"<p>The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open",<p><em>Criterion (v):</em> The Madriu-Perafita-Claror Valley is a microcosm of the way its inhabitants have harvested the scarce resources of the high Pyrenees over the past millennia to create a sustainable living environment in harmony with the mountai,2004,,,4247,(v),C,C,0
worldheritagesites.13,POINT (-61.76166667 17.00694444),2086,1499,Antigua Naval Dockyard and Related Archaeological Sites,-61.76166667,17.00694444,Antigua and Barbuda,Latin America and the Caribbean,,"<span>The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hu",,2016,,,255,(ii)(iv),C,C,0
worldheritagesites.14,POINT (-73.24944 -50),160,145,Los Glaciares National Park,-73.24944,-50,Argentina,Latin America and the Caribbean,,"<p>The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into",,1981,,,726927,(vii)(viii),N,N,0
worldheritagesites.15,POINT (-54.13333333 -25.51805556),340,303,Iguazu National Park,-54.13333333,-25.51805556,Argentina,Latin America and the Caribbean,,"<p>The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of t",,1984,,,55000,(vii)(x),N,N,0
worldheritagesites.16,POINT (-70.66666667 -47.15),1091,936,"Cueva de las Manos, R?o Pinturas",-70.66666667,-47.15,Argentina,Latin America and the Caribbean,,"<p>The Cueva de las Manos, R&iacute;o Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also",<p><em>Criterion (iii):</em> The Cueva de las Manos contains an outstanding collection of prehistoric rock art which bears witness to the culture of the earliest human societies in South America.</p>,1999,,,600,(iii),C,C,0
worldheritagesites.17,POINT (-68 -30),1130,966,Ischigualasto / Talampaya Natural Parks,-68,-30,Argentina,Latin America and the Caribbean,,"<p>These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ag",<p><em>Criterion (viii):</em> The site contains a complete sequence of fossiliferous continental sediments representing the entire Triassic Period (45 million years) of geological history. No other place in the world has a fossil record comparable to tha,2000,,,275369,(viii),N,N,0
worldheritagesites.18,POINT (-64.19111 -31.42056),1159,995,Jesuit Block and Estancias of C?rdoba,-64.19111,-31.42056,Argentina,Latin America and the Caribbean,,"<p>The Jesuit Block in C&oacute;rdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or","<p><em>Criterion (ii):</em> The Jesuit buildings and ensembles of C&oacute;rdoba and the estancias are exceptional examples of the fusion of European and indigenous values and cultures during a seminal period in South America.</p>
<p><em>Criterion (iv):<",2000,,,38.12,(ii)(iv),C,C,0
worldheritagesites.19,POINT (-65.34886111 -23.19986111),1295,1116,Quebrada de Humahuaca,-65.34886111,-23.19986111,Argentina,Latin America and the Caribbean,,"<p>Quebrada de Humahuaca follows the line of a major cultural route, the Camino Inca, along the spectacular valley of the Rio Grande, from its source in the cold high desert plateau of the High Andean lands to its confluence with the Rio Leone some 150 k","<p><em>Criterion (ii):</em> The Quebrada de Humahuaca valley has been used over the past 10,000 years as a crucial passage for the transport of people and ideas from the high Andean lands to the plains.</p>
<p><em>Criteria (iv) and (v):</em> The Quebrada",2003,,,172116.4375,(ii)(iv)(v),C,C,0
worldheritagesites.20,POINT (-64 -42.5),1092,937,Pen?nsula Vald?s,-64,-42.5,Argentina,Latin America and the Caribbean,,<p>Pen&iacute;nsula Vald&eacute;s in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of sou,"<p><em>Criterion (x):</em> Peninsula Vald&eacute;s contains very important and significant natural habitats for the in-situ conservation of several threatened species of outstanding universal value, and specifically its globally important concentration o",1999,,,360000,(x),N,N,0
